Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,719,Town of Apex- (NC),NC,0.050,.,.,.,0.050,8,0,.,.,8,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,0.000,0.000,0.000,0.050,8,0,0,0,8,0,0,0,0,0
2014,733,Appalachian Power Co,VA,1.668,1.956,0.083,.,3.707,363,41,1,.,405,792.415,74.089,0.000,.,866.504,0.072,0.037,.,.,0.109,20,5,.,.,25,15.338,12.296,.,.,27.634,.,1.128,.,.,1.128,.,1,.,.,1,.,2.400,.,.,2.400,1.740,3.121,0.083,0.000,4.944,383,47,1,0,431,808,89,0,0,897
2014,733,Appalachian Power Co,WV,0.213,0.293,0.005,.,0.511,51,21,1,.,73,92.318,39.902,1.156,.,133.376,0.025,0.010,.,.,0.035,6,2,.,.,8,0.238,0.000,.,.,0.238,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.238,0.303,0.005,0.000,0.546,57,23,1,0,81,93,40,1,0,134
2014,803,Arizona Public Service Co,AZ,174.600,196.860,.,.,371.460,"29,801","1,093",.,.,"30,894",.,.,.,.,0.000,0.050,0.110,.,.,0.160,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,174.650,196.970,0.000,0.000,371.620,"29,826","1,104",0,0,"30,930",0,0,0,0,0
2014,814,Entergy Arkansas Inc,AR,0.499,0.190,.,.,0.689,108,17,.,.,125,.,.,.,.,0.000,0.002,0.057,.,.,0.059,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.501,0.247,0.000,0.000,0.748,109,21,0,0,130,0,0,0,0,0
2014,817,Arkansas Valley Elec Coop Corp,AR,0.101,0.017,.,.,0.118,21,1,.,.,22,3.521,.,.,.,3.521,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.107,0.017,0.000,0.000,0.124,22,1,0,0,23,4,0,0,0,4
2014,887,"Arrowhead Electric Coop, Inc",MN,0.001,0.001,.,.,0.002,19,1,.,.,20,.,.,.,.,0.000,0.001,0.000,.,.,0.001,1,0,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.001,0.000,0.000,0.003,20,1,0,0,21,0,0,0,0,0
2014,918,City of Aspen- (CO),CO,0.046,0.050,.,.,0.096,12,6,.,.,18,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.046,0.050,0.000,0.000,0.096,12,6,0,0,18,0,0,0,0,0
2014,942,Atchison-Holt Electric Coop,MO,0.008,.,.,.,0.008,2,.,.,.,2,0.242,.,.,.,0.242,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.018,0.000,0.000,0.000,0.018,3,0,0,0,3,0,0,0,0,0
2014,963,Atlantic City Electric Co,NJ,50.672,76.028,20.074,.,146.774,"6,269",708,36,.,"7,013","3,731.339","4,100.733",232.937,.,"8,065.009",0.262,0.076,.,.,0.338,25,5,.,.,30,13.775,5.953,.,.,19.728,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,50.934,76.104,20.074,0.000,147.112,"6,294",713,36,0,"7,043","3,745","4,107",233,0,"8,085"
