Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,MO,16805,SEMO Electric Cooperative,AECI,AC,0.079,0.030,.,.,0.109,9,1,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.079,0.030,0.000,0.000,0.109,9,1,0,0,10,0.000,0.000,0.000,0.000,0.000
2017,MO,16851,SE-MA-NO Electric Coop,AECI,AC,0.201,.,.,.,0.201,18,.,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,0.001,.,.,.,0.001,2,.,.,.,2,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.202,0.000,0.000,0.000,0.202,20,0,0,0,20,0.000,0.000,0.000,0.000,0.000
2017,MO,17833,City Utilities of Springfield - (MO),SWPP,AC,0.776,0.761,0.000,0.000,1.537,107,19,0,0,126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33.271,.,.,.,33.271,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.776,0.761,0.000,0.000,1.537,107,19,0,0,126,33.271,0.000,0.000,0.000,33.271
2017,MO,19150,Trenton Municipal Utilities - (MO),SWPP,DC,0.031,0.022,.,.,0.053,1,2,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.031,0.022,0.000,0.000,0.053,1,2,0,0,3,0.000,0.000,0.000,0.000,0.000
2017,MO,19158,Tri-County Electric Coop Assn,AECI,AC,0.197,.,.,.,0.197,22,.,.,.,22,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,.,.,.,0.008,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.205,0.000,0.000,0.000,0.205,25,0,0,0,25,0.000,0.000,0.000,0.000,0.000
2017,MO,19436,Union Electric Co - (MO),MISO,DC,23.306,30.520,1.880,.,55.706,"2,532","1,427",82,.,"4,041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.048,0.018,.,.,0.066,18,7,.,.,25,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,23.354,30.538,1.880,0.000,55.772,"2,550","1,434",82,0,"4,066",0.000,0.000,0.000,0.000,0.000
2017,MO,20318,Webster Electric Coop,AECI,AC,0.260,.,.,.,0.260,31,.,.,.,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37.400,.,.,.,37.400,0.017,.,.,.,0.017,6,.,.,.,6,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.277,0.000,0.000,0.000,0.277,37,0,0,0,37,37.400,0.000,0.000,0.000,37.400
2017,MO,20363,West Central Electric Coop Inc - (MO),AECI,AC,0.364,.,.,.,0.364,42,.,.,.,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,207.000,.,.,.,207.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.364,0.000,0.000,0.000,0.364,42,0,0,0,42,207.000,0.000,0.000,0.000,207.000
2017,MO,20392,City of West Plains - (MO),SWPP,AC,.,0.198,.,.,0.198,.,2,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.198,0.000,0.000,0.198,0,2,0,0,2,0.000,0.000,0.000,0.000,0.000
2017,MO,20574,White River Valley El Coop Inc,AECI,AC,1.089,.,.,.,1.089,117,.,.,.,117,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84.000,.,.,.,84.000,0.003,.,.,.,0.003,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.092,0.000,0.000,0.000,1.092,118,0,0,0,118,84.000,0.000,0.000,0.000,84.000
2017,MO,27238,"Southwest Electric Coop, Inc",AECI,DC,0.370,.,.,.,0.370,48,.,.,.,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.000,.,.,.,28.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.370,0.000,0.000,0.000,0.370,48,0,0,0,48,28.000,0.000,0.000,0.000,28.000
2017,MO,99999,Adjustment 2017,AECI,,-0.118,-0.019,.,.,-0.137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.118,-0.019,.,.,-0.137,.,.,.,.,.,.,.,.,.,.
2017,MO,99999,Adjustment 2017,MISO,,-4.097,-5.330,-0.328,.,-9.755,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-4.097,-5.330,-0.328,.,-9.755,.,.,.,.,.,.,.,.,.,.
2017,MO,99999,Adjustment 2017,SWPP,,-1.874,-1.076,-0.027,.,-2.977,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.874,-1.076,-0.027,.,-2.977,.,.,.,.,.,.,.,.,.,.
2017,MS,3841,Coast Electric Power Assn,SOCO,AC,0.361,0.009,0.000,0.000,0.370,58,1,0,0,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.361,0.009,0.000,0.000,0.370,58,1,0,0,59,0.000,0.000,0.000,0.000,0.000
2017,MS,5175,Dixie Electric Power Assn,MISO,AC,0.090,0.160,.,.,0.250,14,3,.,.,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31.088,53.039,.,.,84.127,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.090,0.160,0.000,0.000,0.250,14,3,0,0,17,31.088,53.039,0.000,0.000,84.127
2017,MS,11519,Magnolia Electric Power Assn,MISO,AC,0.069,.,0.190,.,0.259,11,.,3,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.069,0.000,0.190,0.000,0.259,11,0,3,0,14,0.000,0.000,0.000,0.000,0.000
2017,MS,12685,Entergy Mississippi Inc,MISO,DC,0.230,0.130,.,.,0.360,49,10,.,.,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.235,0.130,0.000,0.000,0.365,50,10,0,0,60,0.000,0.000,0.000,0.000,0.000
2017,MS,12686,Mississippi Power Co,SOCO,DC,0.483,0.432,0.000,0.000,0.915,65,10,0,0,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.483,0.432,0.000,0.000,0.915,65,10,0,0,75,0.000,0.000,0.000,0.000,0.000
2017,MS,14563,Pearl River Valley El Pwr Assn,MISO,AC,0.299,0.477,.,.,0.776,44,7,.,.,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,128.357,208.956,.,.,337.313,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.299,0.477,0.000,0.000,0.776,44,7,0,0,51,128.357,208.956,0.000,0.000,337.313
2017,MS,17647,Southern Pine Elec Power Assn,MISO,AC,0.105,0.315,.,.,0.420,14,4,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.065,.,.,0.065,.,1,.,.,1,.,.,.,.,0.000,0.105,0.380,0.000,0.000,0.485,14,5,0,0,19,0.000,0.000,0.000,0.000,0.000
2017,MS,99999,Adjustment 2017,MISO,,-0.040,-0.023,.,.,-0.063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.040,-0.023,.,.,-0.063,.,.,.,.,.,.,.,.,.,.
2017,MS,99999,Adjustment 2017,SOCO,,-0.084,-0.075,0.000,0.000,-0.160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.084,-0.075,0.000,0.000,-0.160,.,.,.,.,.,.,.,.,.,.
2017,MT,1417,"Beartooth Electric Coop, Inc",NWMT,AC,0.133,.,.,.,0.133,25,.,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.022,.,.,.,0.022,6,.,.,.,6,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.155,0.000,0.000,0.000,0.155,31,0,0,0,31,0.000,0.000,0.000,0.000,0.000
2017,MT,6395,Flathead Electric Coop Inc,BPAT,AC,0.258,0.081,.,.,0.339,40,12,.,.,52,.,.,.,.,0.000,.,.,.,.,0,0.100,.,.,.,0.100,260,.,.,.,260,.,.,.,.,0.000,0.005,.,.,.,0.005,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.363,0.081,0.000,0.000,0.444,304,12,0,0,316,0.000,0.000,0.000,0.000,0.000
2017,MT,7262,"Glacier Electric Coop, Inc",NWMT,DC,0.010,0.035,.,.,0.045,1,3,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.010,0.020,.,.,0.030,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.020,0.055,0.000,0.000,0.075,2,5,0,0,7,0.000,0.000,0.000,0.000,0.000
2017,MT,11022,"Lincoln Electric Coop, Inc",BPAT,AC,0.042,0.003,.,.,0.045,15,1,.,.,16,0.000,0.000,.,.,0.000,0,0,.,.,0,0.000,0.000,.,.,0.000,0,0,.,.,0,0.000,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,0.045,0.003,0.000,0.000,0.048,16,1,0,0,17,0.000,0.000,0.000,0.000,0.000
2017,MT,11272,"Lower Yellowstone R E A, Inc",WAUW,AC,0.020,.,.,.,0.020,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.500,.,.,.,0.500,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.020,0.000,0.000,0.000,0.020,2,0,0,0,2,0.500,0.000,0.000,0.000,0.500
2017,MT,12463,"Mid-Yellowstone Elec Coop, Inc",WAUW,DC,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,0.007,.,.,.,0.007,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.017,0.000,0.000,0.000,0.017,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000
2017,MT,12692,"Missoula Electric Coop, Inc",BPAT,AC,0.210,0.015,0.000,0.000,0.225,38,2,0,0,40,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.066,0.036,0.000,0.000,0.102,79,7,0,0,86,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.002,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.278,0.051,0.000,0.000,0.329,118,9,0,0,127,0.000,0.000,0.000,0.000,0.000
2017,MT,12825,NorthWestern Energy LLC - (MT),NWMT,DC,7.313,3.445,.,.,10.758,"1,646",377,.,.,"2,023",.,0.039,.,.,0.039,.,2,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.406,0.474,.,.,0.880,80,35,.,.,115,.,.,.,.,0.000,0.018,0.070,.,.,0.088,3,2,.,.,5,.,.,.,.,0.000,7.737,3.989,0.000,0.000,11.726,"1,729",414,0,0,"2,143",0.000,0.000,0.000,0.000,0.000
2017,MT,14500,Park Electric Coop Inc,NWMT,AC,0.160,.,.,.,0.160,24,.,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100.725,.,.,.,100.725,0.023,.,.,.,0.023,4,.,.,.,4,2.078,.,.,.,2.078,0.013,.,.,.,0.013,1,.,.,.,1,14.040,.,.,.,14.040,0.196,0.000,0.000,0.000,0.196,29,0,0,0,29,116.843,0.000,0.000,0.000,116.843
2017,MT,18401,"Sun River Electric Coop, Inc",WAUW,AC,.,0.080,.,.,0.080,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.720,.,.,81.720,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.080,0.000,0.000,0.080,0,1,0,0,1,0.000,81.720,0.000,0.000,81.720
2017,MT,19022,Tongue River Electric Coop Inc,NWMT,AC,0.033,.,.,.,0.033,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.033,0.000,0.000,0.000,0.033,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2017,MT,19603,USBIA-Mission Valley Power,NWMT,AC,0.103,.,.,.,0.103,23,.,.,.,23,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.103,0.000,0.000,0.000,0.103,23,0,0,0,23,0.000,0.000,0.000,0.000,0.000
2017,MT,20997,Yellowstone Valley Elec Co-op Inc.,WAUW,AC,0.321,.,.,.,0.321,32,.,.,.,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.030,.,.,.,0.030,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.351,0.000,0.000,0.000,0.351,36,0,0,0,36,0.000,0.000,0.000,0.000,0.000
2017,MT,21513,"Fergus Electric Coop, Inc",WAUW,AC,0.210,.,.,.,0.210,19,.,.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.017,.,.,.,0.017,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.227,0.000,0.000,0.000,0.227,21,0,0,0,21,0.000,0.000,0.000,0.000,0.000
2017,MT,23586,"Vigilante Electric Coop, Inc",NWMT,AC,0.070,.,.,.,0.070,8,.,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,15.100,.,.,.,15.100,0.020,.,.,.,0.020,1,.,.,.,1,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.090,0.000,0.000,0.000,0.090,9,0,0,0,9,15.100,0.000,0.000,0.000,15.100
2017,MT,26916,"Ravalli County Elec Coop, Inc",NWMT,AC,0.241,0.000,0.000,0.000,0.241,39,0,0,0,39,.,.,.,.,0.000,.,.,.,.,0,0.050,0.000,0.000,0.000,0.050,97,0,0,0,97,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.291,0.000,0.000,0.000,0.291,136,0,0,0,136,0.000,0.000,0.000,0.000,0.000
2017,MT,99999,Adjustment 2017,NWMT,,-1.277,-0.607,.,.,-1.884,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.277,-0.607,.,.,-1.884,.,.,.,.,.,.,.,.,.,.
2017,MT,99999,Adjustment 2017,WAUW,,-0.002,.,.,.,-0.002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.002,.,.,.,-0.002,.,.,.,.,.,.,.,.,.,.
2017,NC,240,Albemarle Electric Member Corp,PJM,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.050,.,.,0.050,.,1,.,.,1,.,0.000,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.050,0.000,0.000,0.050,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000
2017,NC,719,Town of Apex- (NC),CPLE,DC,0.142,.,.,.,0.142,25,.,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.142,0.000,0.000,0.000,0.142,25,0,0,0,25,0.000,0.000,0.000,0.000,0.000
2017,NC,1889,Blue Ridge Elec Member Corp - (NC),DUK,AC,0.848,0.030,.,.,0.878,130,3,.,.,133,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.004,.,.,.,0.004,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.852,0.030,0.000,0.000,0.882,132,3,0,0,135,0.000,0.000,0.000,0.000,0.000
2017,NC,2982,Cape Hatteras Elec Member Corp,PJM,AC,0.040,.,.,.,0.040,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.010,.,.,0.010,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.040,0.010,0.000,0.000,0.050,7,1,0,0,8,0.000,0.000,0.000,0.000,0.000
2017,NC,3046,Duke Energy Progress - (NC),CPLE,AC,12.434,12.176,.,.,24.610,"2,558",203,.,.,"2,761",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,0.010,.,.,0.012,1,1,.,.,2,.,.,.,.,0.000,.,6.139,.,.,6.139,.,12,.,.,12,.,.,.,.,0.000,12.436,18.325,0.000,0.000,30.761,"2,559",216,0,0,"2,775",0.000,0.000,0.000,0.000,0.000
2017,NC,5416,"Duke Energy Carolinas, LLC",DUK,AC,13.815,10.791,3.659,.,28.265,"2,874",232,20,.,"3,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,348.183","1,945.648","1,082.213",.,"10,376.044",0.003,0.039,.,.,0.042,3,4,.,.,7,.,.,.,.,0.000,.,0.406,.,.,0.406,.,2,.,.,2,.,.,.,.,0.000,13.818,11.236,3.659,0.000,28.713,"2,877",238,20,0,"3,135","7,348.183","1,945.648","1,082.213",0.000,"10,376.044"
2017,NC,6640,Four County Elec Member Corp,CPLE,DC,0.139,.,.,.,0.139,24,.,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86.297,.,.,.,86.297,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.139,0.000,0.000,0.000,0.139,24,0,0,0,24,86.297,0.000,0.000,0.000,86.297
2017,NC,6784,French Broad Elec Member Corp,CPLE,DC,0.347,.,.,.,0.347,137,.,.,.,137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,.,.,.,0.003,3,.,.,.,3,.,.,.,.,0.000,0.350,0.000,0.000,0.000,0.350,140,0,0,0,140,0.000,0.000,0.000,0.000,0.000
2017,NC,7639,Greenville Utilities Comm,CPLE,AC,0.070,.,.,.,0.070,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.070,0.000,0.000,0.000,0.070,9,0,0,0,9,0.000,0.000,0.000,0.000,0.000
2017,NC,8333,Haywood Electric Member Corp,DUK,AC,0.339,.,.,.,0.339,46,.,.,.,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205.173,.,.,.,205.173,0.010,.,.,.,0.010,1,.,.,.,1,3.652,.,.,.,3.652,0.006,.,.,.,0.006,2,.,.,.,2,0.149,.,.,.,0.149,0.355,0.000,0.000,0.000,0.355,49,0,0,0,49,208.974,0.000,0.000,0.000,208.974
2017,NC,9837,Jones-Onslow Elec Member Corp,CPLE,AC,0.315,.,.,.,0.315,51,.,.,.,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159.000,.,.,.,159.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.315,0.000,0.000,0.000,0.315,51,0,0,0,51,159.000,0.000,0.000,0.000,159.000
2017,NC,14717,Pee Dee Electric Member Corp,CPLE,AC,0.192,.,.,.,0.192,18,.,.,.,18,.,.,.,.,0.000,.,.,.,.,0,0.100,.,.,.,0.100,18,.,.,.,18,177.000,.,.,.,177.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.292,0.000,0.000,0.000,0.292,36,0,0,0,36,177.000,0.000,0.000,0.000,177.000
2017,NC,15023,Piedmont Electric Member Corp,DUK,AC,0.810,0.070,.,.,0.880,143,2,.,.,145,.,.,.,.,0.000,.,.,.,.,0,0.500,.,.,.,0.500,134,.,.,.,134,"1,354.328",39.530,.,.,"1,393.858",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.310,0.070,0.000,0.000,1.380,277,2,0,0,279,"1,354.328",39.530,0.000,0.000,"1,393.858"
2017,NC,16496,Rutherford Elec Member Corp,DUK,AC,0.624,0.032,0.000,0.000,0.656,116,1,0,0,117,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,369.300,0.000,0.000,0.000,369.300,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.624,0.032,0.000,0.000,0.656,116,1,0,0,117,369.300,0.000,0.000,0.000,369.300
2017,NC,17572,South River Elec Member Corp,CPLE,DC,0.498,0.020,.,.,0.518,62,1,.,.,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.498,0.020,0.000,0.000,0.518,62,1,0,0,63,0.000,0.000,0.000,0.000,0.000
2017,NC,19435,Union Electric Membership Corp - (NC),DUK,DC,1.320,.,.,.,1.320,152,.,.,.,152,.,.,.,.,0.000,.,.,.,.,0,1.320,.,.,.,1.320,152,.,.,.,152,403.125,.,.,.,403.125,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.640,0.000,0.000,0.000,2.640,304,0,0,0,304,403.125,0.000,0.000,0.000,403.125
