Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2024,3265,Cleco Power LLC,LA,MISO,"21,407","13,584","1,338",.,"36,328",4.1,4.4,0.5,.,9.0,"3,31,047","1,64,795","18,311",.,"5,14,152",4.1,4.4,0.5,.,9.0,"2,949","1,924",174,.,"5,047","1,056",646,58,.,"1,760","2,949","1,924",174,.,"5,047","1,056",646,58,.,"1,760",15.500,12.100,13.700,.,www.cleco.com
2024,3278,AEP Texas Central Company,TX,ERCO,"22,861","25,746",.,.,"48,608",8.6,55.3,.,.,63.8,"3,78,431","6,21,496",.,.,"9,99,927",8.6,55.3,.,.,63.9,"9,020","5,711",.,.,"14,731",820,598,.,.,"1,418","9,020","5,711",.,.,"14,731",820,598,.,.,"1,418",16.600,24.100,.,.,
2024,3287,"Central Valley Elec Coop, Inc",NM,SWPP,44,10,0,0,54,0.0,0.0,0.0,0.0,0.0,44,10,0,0,54,0.0,0.0,0.0,0.0,0.0,1,1,0,0,3,49,0,0,0,49,1,1,0,0,3,49,0,0,0,49,1.000,1.000,0.000,0.000,
2024,3400,City of Chaska - (MN),MN,MISO,664,"3,654","1,841",.,"6,159",0.2,0.5,0.9,.,1.5,"6,641","36,536","18,412",.,"61,589",0.2,0.5,0.9,.,1.5,64,129,63,.,257,40,80,39,.,160,64,129,63,.,257,40,80,39,.,160,10.000,10.000,10.000,30.000,
2024,3413,PUD No 1 of Chelan County,WA,CHPD,"1,675","9,163",885,.,"11,723",0.8,2.1,0.2,.,3.0,"27,459","1,20,613","12,574",.,"1,60,646",0.8,2.1,0.2,.,3.0,"1,257","4,237",414,.,"5,908",605,505,63,.,"1,173","1,257","4,237",414,.,"5,908",605,505,63,.,"1,173",17.300,13.090,13.450,.,
2024,3461,Cheyenne Light Fuel & Power,WY,WACM,78,903,0,0,981,19.9,217.7,0.0,0.0,237.6,994,"11,144",0,0,"12,138",16.0,138.9,0.0,0.0,154.9,31,147,0,0,178,57,189,0,0,246,31,147,0,0,178,57,189,0,0,246,12.700,12.350,.,.,
2024,3477,City of Chicopee - (MA),MA,ISNE,202,"1,220",509,.,"1,932",0.0,0.2,0.1,.,0.3,"2,023","18,307","7,634",.,"27,964",0.0,0.2,0.1,.,0.3,177,146,126,.,449,197,40,34,.,271,177,146,126,.,449,197,40,34,.,271,10.000,15.000,15.000,.,
2024,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,49,0,0,0,49,0.1,0.0,0.0,0.0,0.1,732,0,0,0,732,0.1,0.0,0.0,0.0,0.1,12,0,0,0,12,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0.004,0.000,0.000,0.004,
2024,3644,PUD No 1 of Clallam County,WA,BPAT,"1,358","1,341",25,.,"2,724",0.4,0.0,0.0,.,0.4,"25,047","16,336",298,.,"41,681",0.4,0.0,0.0,.,0.4,450,114,17,.,580,205,41,12,.,258,450,114,17,.,580,205,41,12,.,258,18.440,12.185,28.927,.,
2024,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"29,454","11,406","17,375",.,"58,235",6.0,2.3,3.6,.,11.9,"88,362","1,02,654","1,91,125",.,"3,82,141",6.0,2.3,3.6,.,11.9,"2,556","2,583","3,916",.,"9,055",386,86,0,.,472,"2,556","2,583","3,916",.,"9,055",386,86,0,.,472,3.000,9.000,11.000,.,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
