,,,,,Capacity MW,,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Virtual Capacity- 1 MW and over (MW),,,,,Virtual Customers- 1 MW and over,,,,,Virtual Capacity- under 1 MW (MW),,,,,Virtual Customers- under 1 MW,,,,,PV-Paired Battery Capacity (MW),,,,,PV-Paired Installations,,,,,PV-Paired Energy Capacity (MWh),,,,,Not PV-Paired Battery Capacity (MW),,,,,Not PV-Paired Installations,,,,,Not PV-Paired Energy Capacity (MWh),,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2024,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,3.763,.,.,.,3.763,330,.,.,.,330,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.013,.,.,.,0.013,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.776,0.000,0.000,0.000,3.776,335,0,0,0,335,0.000,0.000,0.000,0.000,0.000
2024,AR,13718,City of North Little Rock - (AR),MISO,AC,2.890,0.280,2.970,0.000,6.140,404,5,3,0,412,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.890,0.280,2.970,0.000,6.140,404,5,3,0,412,0.000,0.000,0.000,0.000,0.000
2024,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,5.503,3.613,0.000,0.000,9.116,696,25,0,0,721,0.000,0.000,0.000,0.000,0.000,1.790,3.133,0.004,0.000,4.927,481,396,1,0,878,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.064,0.000,0.000,0.000,0.064,7,0,0,0,7,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.004,0.000,0.000,0.000,0.004,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,7.297,6.746,0.004,0.000,14.047,"1,179",421,1,0,"1,601",0.000,0.000,0.000,0.000,0.000
2024,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,DC,15.711,1.429,19.165,.,36.305,"1,693",16,10,.,"1,719",.,.,.,.,0.000,0.000,0.000,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,26.050,.,26.050,.,.,8,.,8,.,.,57,.,57,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,0.009,.,.,0.009,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,15.711,1.438,19.165,0.000,36.314,"1,693",17,10,0,"1,720",0.000,0.000,0.000,0.000,0.000
2024,AR,14446,Paragould Municipal Utilities,SPA,AC,0.329,.,.,.,0.329,17,.,.,.,17,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.329,0.000,0.000,0.000,0.329,17,0,0,0,17,0.000,0.000,0.000,0.000,0.000
2024,AR,14864,Petit Jean Electric Coop Corp,MISO,AC,1.210,0.450,.,.,1.660,117,1,.,.,118,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.210,0.450,0.000,0.000,1.660,117,1,0,0,118,0.000,0.000,0.000,0.000,0.000
2024,AR,17184,City of Siloam Springs - (AR),SWPP,AC,0.409,.,.,.,0.409,53,.,.,.,53,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.409,0.000,0.000,0.000,0.409,53,0,0,0,53,0.000,0.000,0.000,0.000,0.000
2024,AR,17671,Southwest Arkansas E C C,MISO,AC,1.216,0.067,0.000,0.000,1.283,119,3,0,0,122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.216,0.067,0.000,0.000,1.283,119,3,0,0,122,0.000,0.000,0.000,0.000,0.000
2024,AR,17698,Southwestern Electric Power Co,SWPP,AC,10.398,2.757,0.220,.,13.375,"1,558",50,2,.,"1,610","7,951.385","19,677.768",555.282,.,"28,184.435",.,10.875,.,.,10.875,.,5,.,.,5,0.215,3.004,.,.,3.219,18,9,.,.,27,0.149,0.007,.,.,0.156,23,1,.,.,24,0,0,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,0.002,.,.,0.002,.,1,.,.,1,.,0.091,.,.,0.091,.,3.800,.,.,3.800,.,2,.,.,2,.,.,.,.,0.000,10.613,20.438,0.220,0.000,31.271,"1,576",67,2,0,"1,645","7,951.385","19,677.859",555.282,0.000,"28,184.526"
2024,AR,20963,Woodruff Electric Coop Corp,MISO,AC,0.437,2.244,.,.,2.681,37,7,.,.,44,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.440,2.244,0.000,0.000,2.684,38,7,0,0,45,0.000,0.000,0.000,0.000,0.000
