Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2016,AR,8840,City of Hope,AC,0.025,.,.,.,0.025,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.025,0.000,0.000,0.000,0.025,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,AR,9879,City Water and Light Plant,AC,0.010,.,.,.,0.010,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000
2016,AR,13676,"North Arkansas Elec Coop, Inc",DC,0.288,.,.,.,0.288,41,.,.,.,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.008,.,.,.,0.008,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.296,0.000,0.000,0.000,0.296,46,0,0,0,46,0.000,0.000,0.000,0.000,0.000
2016,AR,13718,City of North Little Rock - (AR),AC,0.050,1.200,.,.,1.250,3,5,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,1.200,0.000,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,14063,Oklahoma Gas & Electric Co,AC,0.068,0.037,0.000,0.000,0.105,13,4,.,.,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.004,0.001,0.000,0.000,0.005,1,1,.,.,2,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,.,.,.,.,0,.,.,.,.,0.000,0.072,0.038,0.000,0.000,0.110,14,5,0,0,19,0.000,0.000,0.000,0.000,0.000
2016,AR,14289,Ozarks Electric Coop Corp - (AR),DC,0.647,0.009,.,.,0.656,98,1,.,.,99,.,.,.,.,0.000,12,.,.,.,12,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.009,.,.,0.011,1,1,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.649,0.018,0.000,0.000,0.667,99,2,0,0,101,0.000,0.000,0.000,0.000,0.000
2016,AR,14864,Petit Jean Electric Coop Corp,AC,0.046,.,.,.,0.046,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.049,0.000,0.000,0.000,0.049,8,0,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,15811,"Rich Mountain Elec Coop, Inc",AC,0.018,.,.,.,0.018,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.018,0.000,0.000,0.000,0.018,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2016,AR,17184,City of Siloam Springs - (AR),DC,0.080,.,.,.,0.080,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.080,0.000,0.000,0.000,0.080,8,0,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,17671,Southwest Arkansas E C C,AC,0.050,.,.,.,0.050,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,0.000,0.000,0.000,0.050,8,0,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,17698,Southwestern Electric Power Co,AC,0.054,0.433,0.000,0.000,0.487,19,12,0,0,31,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,0.006,0.165,0.000,0.000,0.171,1,3,0,0,4,40.276,270.003,0.000,0.000,310.279,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.427,0.000,0.000,0.427,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.060,0.603,0.000,0.000,0.663,20,17,0,0,37,40.276,270.430,0.000,0.000,310.706
2016,AR,20963,Woodruff Electric Coop Corp,AC,0.001,0.008,.,.,0.009,1,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.004,.,.,.,0.004,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,0.008,0.000,0.000,0.013,2,1,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,AZ,176,Ajo Improvement Co,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,AZ,803,Arizona Public Service Co,AC,351.190,208.920,.,.,560.110,"55,456","1,232",.,.,"56,688",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.050,0.110,.,.,0.160,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,351.240,209.030,0.000,0.000,560.270,"55,481","1,243",0,0,"56,724",0.000,0.000,0.000,0.000,0.000
2016,AZ,4071,"Columbus Electric Coop, Inc",AC,0.018,.,.,.,0.018,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.000,.,.,.,17.000,0.006,.,.,.,0.006,1,.,.,.,1,5.000,.,.,.,5.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.024,0.000,0.000,0.000,0.024,6,0,0,0,6,22.000,0.000,0.000,0.000,22.000
2016,AZ,7456,Graham County Electric Coop Inc,DC,1.097,0.243,0.000,0.000,1.340,168,32,0,0,200,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,"1,025.110",192.400,0.000,0.000,"1,217.510",0.034,0.000,0.000,0.000,0.034,6,0,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.131,0.243,0.000,0.000,1.374,174,32,0,0,206,"1,025.110",192.400,0.000,0.000,"1,217.510"
2016,AZ,12351,City of Mesa - (AZ),AC,0.085,0.280,0.000,0.000,0.365,22,13,0,0,35,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,34.824,213.094,0.000,0.000,247.918,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.085,0.280,0.000,0.000,0.365,22,13,0,0,35,34.824,213.094,0.000,0.000,247.918
2016,AZ,12919,Morenci Water and Electric,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,AZ,13318,"Navopache Electric Coop, Inc",AC,1.466,0.253,.,.,1.719,199,25,.,.,224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,353.350",154.420,.,.,"1,507.770",0.006,.,.,.,0.006,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.472,0.253,0.000,0.000,1.725,204,25,0,0,229,"1,353.350",154.420,0.000,0.000,"1,507.770"
2016,AZ,14373,Page Utility Enterprises,AC,0.018,0.034,.,.,0.052,5,2,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.018,0.034,0.000,0.000,0.052,5,2,0,0,7,0.000,0.000,0.000,0.000,0.000
