GeoFIPS,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
30000,Montana,19301.7,20414.4,20815.1,21935.4,22798,23886,25781.1,28138.8,30823.7,33088,36116.1,37028,35880,38080.3,40592.3,42150.2,43584,45203.8,46542.4,45859.4,48470.5,51152.1,52715.6,53057.3,60314.8,69087.8,74690.3,78441
31000,Nebraska,49880,51849.9,53714.2,56582.7,59634.3,61569.5,66471.7,70445.4,74886.7,79287.5,84291.9,86146.6,87325.5,91940.7,100526.5,102949.7,107247,112763.3,117402.3,119389.8,123219.9,127954.4,132848.2,135014.5,150952.5,167840.2,183780.9,189242.7
32000,Nevada,60255,65332.2,71825.3,77181.5,80968.6,85541,91365,104132,117165.1,126613.4,132045.4,130570.9,122471.2,125149,128638.4,130238.2,133592.5,136918.4,145786.8,153318,163199.1,172547.9,184611.1,176178.7,202091.8,232437.9,253443.3,269010.5
33000,New Hampshire,38122.5,40747.7,42292.4,45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,63052.2,65310.8,66557.3,68412,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,89041.6,99433.3,106824.6,114427.8,119336.6
34000,New Jersey,307140.9,318104,334966.4,360530.4,372819.2,385045.6,399996.5,415490.8,436064.4,457681.5,474539.6,493289.4,481452.7,491229,494292.8,516098.2,534212.1,543824.1,565807.7,578651.4,590086.7,619340.2,643317.7,632562.3,693733.8,756465.6,806894,846000.4
35000,New Mexico,52575.6,50573.1,52801.9,55002.2,55660.2,57718.3,62867.9,70593.4,74130.9,78008.2,81100.3,84339.7,82641.3,84862.6,87056,87681,88773.3,92523.4,90779.4,90476,93210.1,98838.2,103821,101035.5,113781.7,129469.1,138526,147084.9
36000,New York,716104.7,744958.9,794009.5,839853,876285.2,885386.2,908535.2,958565.3,1009851,1072271.8,1116265.3,1107860.2,1155492.3,1217748,1245769.4,1324471.3,1364632.9,1434606.3,1498474.7,1556830,1624800.7,1710665.6,1787470.9,1782502.4,1934524,2071075.2,2182549,2322138.9
37000,North Carolina,234571.9,246721.8,264924.3,277556.1,287317.1,297653,310200.3,329017.7,354798.5,388012.1,402188.3,420707.2,413096.8,422282.2,430040.1,444063.2,460946.4,482295.7,508672.4,528284.3,546810.1,568037.3,592449.6,600226.9,660804.7,729761.9,794838,844209
38000,North Dakota,15796.6,16842.7,17083.7,18115.1,18976.9,20195.6,22129.9,23209.6,24572,26406.5,29044.6,32027.7,32310.4,35651.8,41602.1,52079.1,54877,61108.3,56952.2,52666.3,56530.2,60377.1,60892.5,56321.4,64830,75052.1,77898.1,80058.3
39000,Ohio,343513.7,361479.3,375797.2,391032.3,395864.2,411191.1,425530.7,447813.3,470179.5,482904,497600.1,500916.4,484407.1,500274.2,525456.4,543035.4,566419.9,597152.3,615275.5,627294.7,652187.5,672540.1,702914.8,692938.3,764161.4,830498.8,883957.1,923140.6
40000,Oklahoma,79293.7,81778.6,84785.6,91645.7,97505.3,99916.9,106175.1,114237.5,125961.4,138352.3,146582.4,161609,147332.4,155267.5,167207.9,175361.2,184104.6,197074.1,187364.7,182238.8,192538.6,204193.9,205992.7,192222,219132.4,247541.5,255933.2,263695.1
41000,Oregon,101418.2,105016.4,107513.2,117057.2,117002.4,120556.1,126822.1,136495.9,143556.3,153779.6,159676.2,164122.9,159330.4,163150.5,169693.8,173856.8,178975.4,187837.6,200592.6,211782.4,225534.5,238466.9,248781.8,250660.6,276367.7,297084.3,314895,330250.1
42000,Pennsylvania,357525.6,373515,391136.1,409330.2,428463.7,440887.5,460478.3,486384.5,510763.9,528771.2,563238.6,586886.6,581219.9,604629.6,623767.9,646434.3,670767.4,695546.6,716534.3,733165.9,754318,780620.7,802233.1,778297.2,844875.5,916861.7,966444,1007873.9
44000,Rhode Island,28963.2,30835.3,32340,34608.5,35940.1,37891.2,39787.1,42578.2,44413.3,47165.3,47490.1,47138.9,47647.2,49409.1,50123.7,51527.5,52994.2,54612.5,56604,57714.6,58771.6,60064.9,62814.7,61980.9,67060,71978.2,76313.5,80381.1
45000,South Carolina,97453.8,103688.6,110312.9,115332.7,119355.2,124765.2,131509.1,136679.9,145195.8,153453.4,162476.3,164471.2,162380.4,166767.4,172844.7,178503.9,186268.3,195744.4,207510,217555.5,224937.6,236561.7,249575.7,248952.7,272464.9,305070,332946.8,357074.4
46000,South Dakota,19062.3,20257.8,21181.8,22866.7,23626.9,26343.5,27305,29380.9,31104.3,32559.3,35282.6,36939.3,36732.1,38208.2,42082.7,44127.3,45498.6,47159.9,48678.9,49842.6,51615.1,53349.5,55175.8,56847.3,63337.7,69425.6,74458.8,76795.8
47000,Tennessee,154861.9,167783,176467.2,182209.7,185917.2,195386.1,204665.9,219862.4,231339,243104.4,248261.6,255546.7,252940.7,258657.6,270055,285897.5,296756.3,307448.5,326382.5,339350.2,355417.5,369713.2,385833,391588.6,443419.7,490587,531246.8,561201.2
48000,Texas,610659.8,648243.1,683347.4,742161.5,780206.2,796357.3,840860.8,921230.7,1003745.9,1108236.5,1198565,1253142,1179168.1,1255660.8,1351776.9,1429588,1526781.9,1592177.6,1585985.9,1582981.5,1667313,1808026.9,1864872.3,1810670.2,2117013.7,2476903.2,2637237.6,2769766.2
49000,Utah,57812,62070.1,65773.4,70056.3,73042.5,76289.4,79504.7,86766.7,95512,106787.1,115180.7,116949.2,113834.8,118296.3,125137.8,129431.4,135344.3,142627.7,149762.1,159330.6,172075,186805.7,201312.2,206240.5,233320.9,261548.5,283230.8,299471.3
50000,Vermont,15443.4,16197.7,17314.8,18492.9,19467.1,20383.5,21398.5,22986.3,23763,24507.1,25025.2,26140.4,26220,27478.3,28558.5,29325.6,29477.6,30359.4,31152.4,31840.2,32589.2,33482.6,34760.3,34572.3,37290.8,41211.2,43931.6,46276.1
